time(s),TCP(Kbps),UDT(Kbps)
1,0,247.37
2,0,215.09
3,0,654.16
4,0,624.38
5,0,459.98
6,0,654.31
7,0,449.36
8,0,549.43
9,0,189.47
10,0,320.87
11,0,107.45
12,0,212.62
13,0,119.09
14,0,259.64
15,0,191.88
16,0,263.25
17,0,204.2
18,0,161.77
19,0,181.07
20,0,168.28
21,0,118.6
22,82.68,72.34
23,70.87,119.6
24,165.38,106.34
25,318.94,114.59
26,106.32,145.62
27,283.49,181.06
28,496.12,107.76
29,106.64,230.24
30,94.5,188.98
31,400.61,158.15
32,0,82.69
33,0,43.63
34,270.14,155.5
35,35.44,224.44
36,11.81,71.36
37,0,179.13
38,0,119.2
39,484.29,141.75
40,23.62,59.55
41,118.12,165.63
42,389.81,216.99
43,914.28,215.54
44,177.19,179.11
45,257.82,189
46,59.1,175.5
47,69.85,265.19
48,116.58,224.44
49,47.25,141.76
50,0,97.41
51,0,189.68
52,0,176.97
53,0,165.38
54,11.81,141.75
55,0,70.88
56,0,94.83
57,0,83.66
58,0,142.37
59,0,155.5
60,0.33,205.08
61,11.81,237.95
62,0,204.37
63,0,167.32
64,0,227.36
65,0,284.7
66,0,250
67,0,261.81
68,0,272.41
69,0,189.98
70,0,165.87
71,0,82.69
72,0,191.56
73,0,226.39
74,0,211.92
75,0,250.04
76,176.67,272.67
77,0,218
78,0,173.57
79,0.55,239.35
80,0,300.63
81,0,357.53
82,0,345.48
83,0,285.92
84,0,261.57
85,0,178.15
86,0,278.94
87,0,460.46
88,0,427.64
89,0,414.17
90,0,466.49
91,0,565.8
92,0,489.63
93,0,280.36
94,0,332.66
95,0,355.34
96,0,330.51
97,0,490.13
98,0,339.43
99,0,344.02
100,0,535.27
101,0,320.39
102,0.83,283.51
103,0,177.19
104,0,91.85
105,0,153.56
106,0,284.44
107,0,215.53
108,0,297.02
109,0,203.23
110,0,189.98
111,0,252.31
112,0,248.64
113,0,202.94
114,0,286.41
115,0,381.29
116,0,311.97
117,0,201.95
118,0,129.94
119,0,140.55
120,0,185.37
121,0,114.51
122,0,96.44
123,0,239.63
124,0.55,192.26
125,0,273.74
126,0,190.49
127,0,254.11
128,0,274.11
129,0,246.45
130,0,141.75
131,0,144.17
132,0,252.9
133,0,239.63
134,0,164.18
135,0,108.25
136,0,228.78
137,0,277.49
138,0,198
139,0,193.34
140,0,242.06
141,0,346.19
142,0,263.72
143,0,288.34
144,0,213.11
145,0,212.51
146,0,200.82
147,0,227.34
148,0,673.04
149,0,378.97
150,0,498.39
151,0,601.69
152,0,656.69
153,0,404.16
154,0,441.93
155,0,258.89
156,0,213.11
157,0,272.66
158,0,163.68
159,0,155.62
160,0,241.09
161,0,369.09
162,0,402.08
163,0,300.64
164,0,256.74
165,0,276.52
166,0,226.86
167,0,189.97
168,0,175.5
169,0,230.24
170,0,153.56
171,0,106.31
172,0,167.8
173,0,258.2
174,0,227.33
175,0,189.49
176,0,190.45
177,0,203.07
178,0,283.75
179,0,225.89
180,0,252.88
181,0,259.16
182,0.33,325.72
183,0,262.28
184,0,245.89
185,0,209.98
186,0,238.17
187,0,226.86
188,0,143.69
189,0,214.31
190,0,130.27
191,0,157.92
192,0,118.12
193,0,166.83
194,0,226.63
195,0,359.67
196,0,311.98
197,0,154.05
198,0,224.67
199,0,214.56
200,0,426
201,0,348.12
202,0,604.86
203,0,200.81
204,0,423.09
205,0,541.17
206,0,484.8
207,0,614.01
208,0,542.11
209,0,284.47
210,0,188.98
211,0,240.6
212,0,259.16
213,0,204.18
214,0,274.11
215,0,247.81
216,0,260.82
217,0,214.07
218,0,153.89
219,0,95.96
220,0,204.2
221,0,197.2
222,0,96.43
223,0,287.86
224,0,371.03
225,0,246.36
226,0,120.06
227,0,154.05
228,0,357.74
229,0,389.58
230,0,456.95
231,0,317.08
232,0,275.11
233,0,311.96
234,0,182.22
235,0,287.86
236,0,272.18
237,0,249.98
238,0,234.08
239,0,342.33
240,0,248.53
241,0,118.12
242,0,201.78
243,0,416.09
244,0,346.44
245,0,260.85
246,0,235.53
247,0,310.51
248,0,241.09
249,0,627.73
250,0,248.55
251,0,513.97
252,0,972.71
253,0,611.6
254,0,765.65
255,0,733.55
256,0,647.04
257,0,685.71
258,0,363.49
259,0,449.83
260,0,279.88
261,0,138.12
262,0,154.05
263,0,275.56
264,0,240.58
265,0,212.39
266,0,239.15
267,0,169.25
268,0,189
269,0,165.14
270,0,96.43
271,0,142.08
272,0,132.2
273,0,167.78
274,0,155.83
275,0,143.2
276,0,201.53
277,0,314.86
278,0,362.59
279,0,499.31
280,0,462.88
281,0,295.8
282,0,371.5
283,0,330.04
284,0,332.21
285,0,189
286,0,60.03
287,0,303.08
288,0,295.55
289,0,201.77
290,0,237.22
291,0,226.36
292,0,175.98
293,0,251.46
294,0,177.66
295,0,165.86
296,0,179.45
297,0.33,248.29
298,0,272.66
